"PlacetoPay","PlacetoPay"
"Accept payments by credit cards and debits account using PlacetoPay.","Acepte pagos con tarjeta de crédito y débito utilizando PlacetoPay."
"Merchant Parameters","Parámetros del Comercio"
"Merchant ID","Número de Documento"
"Legal Name","Razón Social"
"Email Contact","Correo Electrónico de Contacto"
"Telephone Contact","Teléfono de Contacto"
"Configuration Settings","Ajustes de Configuración"
"Expiration Time To Pay","Tiempo de Expiración del Pago"
"Show On Payment Return","Al Regresar del Pago Mostrar"
"If you has PSE method payment in your commerce, set it in: Default.","Si aceptas pago por PSE, por favor selecciona: Default."
"Enable TransUnion Message?","¿Habilitar el Mensaje de TransUnion?"
"Allow Buy With Pending Payments?","¿Permitir Compras con Pagos Pendientes?"
"If it is disabled, it displays a message when paying if the user has a pending order.","Si está deshabilitado, muestra un mensaje al pagar si el usuario tiene una orden pendiente."
"Allow Buy With Partial Payments?","¿Permitir Compras con Pagos Parciales?"
"If it is selected, allows the user to pay their orders in partial payments.","Si se selecciona, permite al usuario pagar sus pedidos en pagos parciales."
"Fill TAX Information?","¿Detallar Impuestos Aplicados en el Pago?"
"Fill buyer Information?","¿Pre-diligenciar Información del Comprador?"
"Skip Result?","¿Omitir Pantalla de Resultado?"
"Payment Methods Enabled","Medios de Pago Habilitados"
"Payment methods available, empty means all of them.","Métodos de pago disponibles, vacío significa todos ellos."
"Minimum Amount","Monto Mínimo"
"Select a minimum amount per transaction.","Seleccione un monto mínimo por transacción."
"Maximum Amount","Monto Máximo"
"Select a maximum amount per transaction.","Seleccione un monto máximo por transacción."
"Connection Settings","Configuración de Conexión"
"You will need to set your API keys before you can accept payments. If you do not yet have a PlacetoPay account, please <a href=""https://www.placetopay.com/web/contactanos"" target=""_blank"">click here</a> to contact and register.","Deberá configurar sus claves API antes de poder aceptar pagos. Si aún no tiene una cuenta de PlacetoPay, haga <a href=""https://www.placetopay.com/web/contactanos"" target=""_blank"">clic aquí</a> para contactar y registrarse."
"Enabled","Habilitado"
"Title","Título"
"This is the payment method title used at the checkout page.","Este es el título del método de pago utilizado en la página de pago"
"Description","Descripción"
"This is the payment method description used at the checkout page.","Esta es la descripción del método de pago utilizado en la página de pago."
"Country","País"
"Mode","En Modo"
"Set this to production when you are ready to accept payments.","Establezca esto en producción cuando esté listo para aceptar pagos."
"Development Login","Login de Desarrollo"
"<a target=""_blank"" href=""https://panel.placetopay.com"">Your PlacetoPay Account</a> > Sites > Development Login","<a target=""_blank"" href=""https://panel.placetopay.com"">Tu Cuenta PlacetoPay</a> > Sitios > Login de Development"
"Development TranKey","TranKey de Desarrollo"
"<a target=""_blank"" href=""https://panel.placetopay.com"">Your PlacetoPay Account</a> > Sites > Development TranKey","<a target=""_blank"" href=""https://panel.placetopay.com"">Tu Cuenta PlacetoPay</a> > Sitios > TranKey de Desarrollo"
"Test Login","Login de Prueba"
"<a target=""_blank"" href=""https://panel.placetopay.com"">Your PlacetoPay Account</a> > Sites > Test Login","<a target=""_blank"" href=""https://panel.placetopay.com"">Tu Cuenta PlacetoPay</a> > Sitios > Login de Prueba"
"Test TranKey","TranKey de Prueba"
"<a target=""_blank"" href=""https://panel.placetopay.com"">Your PlacetoPay Account</a> > Sites > Test TranKey","<a target=""_blank"" href=""https://panel.placetopay.com"">Tu Cuenta PlacetoPay</a> > Sitios > TranKey de Prueba"
"Production Login","Login de Producción"
"<a target=""_blank"" href=""https://panel.placetopay.com"">Your PlacetoPay Account</a> > Sites > Production Login","<a target=""_blank"" href=""https://panel.placetopay.com"">Tu Cuenta PlacetoPay</a> > Sitios > Login de Producción"
"Production TranKey","TranKey de Producción"
"<a target=""_blank"" href=""https://panel.placetopay.com"">Your PlacetoPay Account</a> > Sites > Production TranKey","<a target=""_blank"" href=""https://panel.placetopay.com"">Tu Cuenta PlacetoPay</a> > Sitios > TranKey de Producción"
"Sort Order","Orden de Clasificación"
"Adjust this to move the payment method above or below other payment methods.","Ajústelo para mover el método de pago por encima o por debajo de otros métodos de pago."
"Information","Información"
"Notification URL","URL de Notificación"
"URL where PlacetoPay will send payment status to Magento.","URL donde PlacetoPay enviará el estado de pago a Magento."
"Order not found.","Orden no encontrada."
"Wrong or empty notification data.","Datos de notificación incorrectos o vacíos."
"Warning!","¡Atención!"
